Organization Name,Founded Year,Industries,Headquarters Location,Description,CB Rank (Company),Headerquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Exit Date,Closed Date,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring,Investor Type,Investment Stage,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top Five Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Monthly Visits,Average Visits (6 Months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Active Tech Count,Number of Apps,Download Last 30 Days,Total Product Active,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class,IT Spend,Most Recent Valuation Range,Date of Most Recent Valuation,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (Week),Number of Alumni,Number of Private Contacts,Number of Private Notes,Tags
Northwestern University,1851,"EdTech, Education, Training, Universities","Evanston, Illinois, United States","Northwestern is one of the country's leading private research and teaching universities, located in Evanston, IL.","6,725","Greater Chicago Area, Great Lakes, Midwestern US",,$1B to $10B,Active,,,,www.northwestern.edu/,https://twitter.com/northwesternu,https://www.facebook.com/NorthwesternU,https://www.linkedin.com/company/northwestern-university,news@northwestern.edu,(847) 491-3741,"4,132",,"For a bachelor’s, master’s, or doctorate degree from a school with history and prestige, look no further than Northwestern University, a Big Ten school located in Evanston, Illinois.
Northwestern is a large school and features many different areas of study. Though the school is known for its strong arts programs, many students also enroll in science, engineering, and medical fields.
Programs include Biological Sciences, Computer Engineering, Drama, Earth and Planetary Sciences, Film and Media Studies, Integrated Marketing Communication, Journalism, Performance Studies, Sociology, and Theatre, as well as many others.
Don’t allow the idea of tuition keep you from attending school. In the financial aid options, counselors can point you toward loans, grants, and work-study programs. There are also many scholarships to choose from including the Northwestern University Scholarship.
The annual job fairs aren’t the only resource for students looking to find employment. There are also internship and job listings, as well as programs to explore majors and career options.
If Evanston isn’t convenient to you, Northwestern also has a campus in Chicago and even a new satellite campus in Qatar for those studying overseas.
As far as student life goes, NU is the place to be. Northwestern University has over 200 extracurricular groups for students be involved in their interests and socialize with others. There is also a museum, concert hall, cinema, and theater for daily entertainment, and a strong athletic program.",,University Program,,Private (Non-Profit),Four Year University,10001+,,"1,074","Education, Other, Software",2,"Craig Wortmann, John Evans",5001-10000,6,,2022-08-18,"$5,500,000.0",Grant,,,,"$46,000,000.0","National Institutes of Health, National Cancer Institute, Maxim Ventures, United States Council for Automotive Research",3,4,,,,,,,,,Private,,,,,,,2021-02-19,,4,"5,138",,-0.9,7.6,5.4,24,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Product, Sales","2,616","4,371,093","6,160,189.5",-20.61%,480,-15.04%,3.42,-3.12%,54.68%,-3.38%,"34,361","8,644",33.61%,29,18,,,"2,135",55,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,9,10,,,4,4,,,,"2,473",,,
University of South Florida,1956,"Education, Training, Universities","Tampa, Florida, United States","University of South Florida is a public research university located in Tampa, Florida.","17,351","Tampa Bay Area, East Coast, Southern US",,,Active,,,,www.usf.edu,http://twitter.com/USouthFlorida,http://www.facebook.com/USouthFlorida,http://www.linkedin.com/company/usouthflorida,,813-974-1640,784,,"University of South Florida, located in the beautiful city of Tampa, Florida, is dedicated to providing exceptional education to its students. At USF, students are challenged to discover pragmatic applications of their education to the global community.
University of South Florida offers a wide range of undergraduate degrees, as well as several dozen graduate and doctoral programs.
University of South Florida is proud of its research-driven academic environment, offering specific on-campus research institutions and even housing a patents and licensing division for the university’s breakthrough research findings.
Undergraduate students are encouraged to get involved in research programs and internships in order to expand their knowledge and build their resume.
University of South Florida offers student support programs such as career advising and academic workshops to help keep students focused, while student organizations, athletics and the arts are available to provide healthy outlets for student development.
USF offers a lowered tuition rate for Florida residents, and also has a number of school scholarships available to eligible students in addition to accepting federal financial aid.
If you’re interested in an institution that strives for academic excellence and groundbreaking research, look no further than the University of South Florida. Contact the school today to find out more or visit the website for a virtual tour.",,,,,,10001+,,271,"Education, Other",1,John S. Allen,,6,,2022-09-07,"$20,000,000.0",Grant,,,,"$138,000,000.0","National Science Foundation, Florida Department of Education, National Institute on Aging, Reliance Medical Centers, National Institute of Diabetes and Digestive and Kidney Diseases",5,5,,,,,,,,,Private,,,,,,,,,1,"5,619",,-0.3,8.4,8.5,4,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","4,354","6,264,380","5,956,995.33",26.84%,506,9.52%,3.41,7.04%,52.99%,-3.88%,"25,442","-2,767",-9.81%,14,14,"1,737",76,"1,689",39,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,569,,,
Yale University,1701,"Association, Business Development, Education, Medical, Social Entrepreneurship","New Haven, Connecticut, United States",Yale University is a research and education institution that prioritizes its students.,"6,476","East Coast, New England, Northeastern US",,Less than $1M,Active,,,,www.yale.edu/,https://twitter.com/yale,https://www.facebook.com/YaleUniversity,https://www.linkedin.com/school/yale-university/,employee.services@yale.edu,203-432-4771,"3,662",,"Yale University is a research institution that prioritizes its students and promotes education as a vital aspect of daily life.
Yale University comprises three major academic components: Yale College (the undergraduate program), the Graduate School of Arts and Sciences, and the professional schools. In addition, Yale encompasses a wide array of centers and programs, libraries, museums, and administrative support offices. Approximately 11,250 students attend Yale.",,University Program,,Private,Graduate University,10001+,,"1,256","Community and Lifestyle, Education, Health Care, Other, Professional Services",10,"Abraham Pierson, Israel Chauncy, James Noyes II, James Pierpont, Joseph Webb, Noadiah Russell, Samuel Andrew, Samuel Mather, Thomas Buckingham, Timothy Woodbridge",10001+,4,,2022-08-04,"$5,750,000.0",Grant,,,,"$26,950,000.0","Algorand Foundation, Andrew W. Mellon Foundation",2,2,,,,,,,,,Private,,,,,,,,,1,"6,505",,-0.9,-1.1,7.3,5,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","4,095","7,004,147","8,696,568.17",0.91%,525,11.23%,2.6,4.65%,66.51%,3.36%,"23,232","2,091",9.89%,21,15,0,,"1,536",80,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,9,9,,3,,,,,,"2,526",,,
Duke University,1838,"EdTech, Education, Higher Education, Universities","Durham, North Carolina, United States",Duke University is a private research university providing undergraduate and postgraduate education in medicine and other disciplines.,"4,901","Research Triangle, East Coast, Southern US",,$1M to $10M,Active,,,,www.duke.edu,http://twitter.com/DukeU,http://www.facebook.com/DukeUniv,https://www.linkedin.com/school/duke-university/,dukenews@duke.edu,(919) 684-2823,"2,373",,"Duke University is a private research university in Durham, North Carolina. Home of the Blue Devils, Duke University has about 15,000 undergraduate and graduate students and a world-class faculty helping to expand the frontiers of knowledge. The university has a strong commitment to applying knowledge in service to society, both near its North Carolina campus and around the world.",,University Program,,Public,Four Year University,10001+,On Campus,994,"Education, Other, Software",1,James Buchanan Duke,5001-10000,3,,2019-03-05,"$50,000,000.0",Grant,"$10,000,000.0",Venture - Series Unknown,"$18,700,000.0","$68,700,000.0","Carrick Capital Partners, The Duke Endowment",2,2,,,,,,,,,Private,,,,,,,,,1,"6,622",,-0.7,-0.3,6.0,36,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales, Support","4,513","5,445,117","5,412,595.33",17.7%,650,7.79%,4.06,14.29%,53.08%,-3.03%,"28,731","-1,019",-3.43%,15,14,895,,"2,063",124,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,12,15,1,4,3,3,,,,"2,128",,,
OpenClassrooms,2013,"EdTech, Education, Training","Paris, Ile-de-France, France",OpenClassrooms is a European online education platform with more than 2 million members and fully online degrees.,"5,782",European Union (EU),,$1M to $10M,Active,,,,openclassrooms.com/,http://twitter.com/OpenClassrooms,http://www.facebook.com/openclassrooms,https://www.linkedin.com/company/openclassrooms,hello@openclassrooms.com,+1 929-376-0101,25,,"Established in 2013, OpenClassrooms has quickly grown to become one of Europe’s largest education-to-employment platforms with 355 000 students across 140 countries, thousands of full-time diploma students, and hundreds of corporate customers, such as Capgemini, PwC, AXA, Amazon Career Choice, Deliveroo, Randstad, Dentsu, BNP Paribas, Societe Generale and more. It is a higher education institution accredited by the French state, issuing its own Associate, Bachelor’s, and Master’s level Diplomas and registered with the Board of Education in Paris, France.
OpenClassrooms operates a fully-online competency-based education model focused on vocational training in knowledge-economy fields - 600+ courses and 55 curricula in high-demand professions including coding, IT, product management, data management, marketing, communications, and UX design. The model blends top-quality online coursework with one-on-one mentorship, project-based learning, career coaching, and a job guarantee.",,,,,,,,1,"Education, Software",2,"Mathieu Nebra, Pierre Dubuc",501-1000,5,Late Stage Venture,2021-04-27,"$80,000,000.0",Series C,"$80,000,000.0",Series C,"$149,703,859.0","$149,703,859.0","Bpifrance, Salesforce Ventures, Alven, General Atlantic, Chan Zuckerberg Initiative",3,9,,,,,,,,,Private,,,,,,,,,2,"6,648",,-0.1,-0.4,-0.2,12,"Management, Marketing, Operations, Product",19,"3,049,101","4,736,712.67",-63.58%,"1,176",-22.02%,3.32,15.23%,54.74%,-16.06%,"45,969","27,989",155.67%,107,,,,0,3,,"Paper, cardboard and goods made from these materials",,,,,,,,,,,,,1,,,
General Assembly,2011,"Education, Product Design, UX Design, Web Design, Web Development","New York, New York, United States","General Assembly is a pioneer in education and career transformation, specializing in today’s most in-demand skills.","7,426","Greater New York Area, East Coast, Northeastern US",Women Led,$50M to $100M,Active,2018-04-15,,,generalassemb.ly/,https://twitter.com/ga,https://www.facebook.com/generalassembly,https://www.linkedin.com/school/general-assemb-ly/,hello@generalassemb.ly,(917) 722-0237,"2,216",Pledge 1%,"General Assembly provides education and career transformation, specializing in today’s most in-demand skills. The leading source for training, staffing, and career transitions, we foster a flourishing community of professionals pursuing careers they love.
It was founded in 2011 and headquartered in New York, United States.",,,,,,,,13,"Design, Education, Software",4,"Adam Pritzker, Brad Hargreaves, Jake Schwartz, Matthew Brimer",501-1000,8,M&A,2018-01-29,,Corporate Round,,Corporate Round,"$123,500,000.0","$148,700,000.0","Learn Capital, Initialized Capital, Wellington Management, Maveron, Bezos Expeditions",4,24,1,"Made Acquisitions, Was Acquired",,,2018-04-15,"$413,000,000.0",Acquisition,,Private,,,,,,,,,141,"6,795",,0.0,-0.1,-0.8,11,"Engineering, Finance, Human Resources, Management, Marketing, Medical &amp; Science, Operations, Product, Sales",117,"642,289","635,531.5",12.58%,628,-6.13%,2.82,-2.41%,53.05%,3.67%,"146,716","-3,742",-2.49%,112,1,,77,0,1,,Education; entertainment,,,,,,,,,,,,,17,,,
University of Saskatchewan,1907,"Education, Higher Education, Universities","Saskatoon, Saskatchewan, Canada",University of Saskatchewan is one of the top 15 medical-doctoral and research intensive universities in Canada.,,,,,Active,,,,www.usask.ca,http://twitter.com/usask,http://www.facebook.com/usask,http://www.linkedin.com/company/university-of-saskatchewan,,,98,,"University of Saskatchewan is one of the top 15 medical-doctoral, research intensive universities in Canada. The campus has sat on the banks of the South Saskatchewan River in Saskatoon, Saskatchewan since 1907. Its research focuses on Aboriginal Peoples, agriculture, energy and mineral resources, animal and human health, synchrotron science, and water security. It is also home to facilities unique to a university, including the Canadian Light Source, Canada’s only synchrotron, and VIDO-InterVac, a facility that studies infectious diseases in both animals and humans.",,,,,,10001+,,99,"Education, Other",,,,2,,2022-07-11,"$634,622.9148",Grant,,,,"$77,646,263.0",Natural Resources Canada,1,1,,,,,,,,,Private,,,,,,,,,,"6,942",,-0.1,-0.8,4.1,3,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product",502,"2,209,484","1,592,664",100.85%,824,14.13%,5.37,17.24%,35.22%,-26.7%,"58,600","-33,870",-36.63%,102,6,503,,233,2,Medical Or Veterinary Science; Hygiene,Agricultural products; live animals,,,,,,,,,,,,,264,,,
Illinois Institute of Technology,1890,"Education, Information Technology","Chicago, Illinois, United States",Illinois Institute of Technology is a school in Chicago.,"6,280","Greater Chicago Area, Great Lakes, Midwestern US",,$100M to $500M,Active,,,,www.iit.edu,http://twitter.com/illinoistech,http://www.facebook.com/241867505842718,http://www.linkedin.com/company/illinois-institute-of-technology,,312.567.3000,166,,"Founded in 1890 as Armour Institute, Illinois Institute of Technology (IIT) is a private, independent, nonprofit, Ph.D.-granting research university with programs in engineering, science, architecture, business, law, design, human sciences, and applied technology.
IIT's presence in Chicago serves the university in two ways. Our location supports our global recruiting efforts through Chicago's growing reputation as an international destination. The city also provides opportunities that help shape IIT's educational and research initiatives.
Conversely, IIT will continue to be a positive influence on Chicago. It is through the innovations emanating from the university that the city will benefit and thrive—and it is through collaborations that our partnership will continue to strengthen.",,,,,,11-50,,177,"Education, Information Technology",1,Frank W. Gunsaulus,1001-5000,1,,2019-10-25,"$150,000,000.0",Grant,,,,"$150,000,000.0",,,,,,,,,,,,Private,,,,,,,,,1,"7,005",,-0.3,-0.9,-0.5,40,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales",603,"970,389","925,324.17",96.81%,596,-5.7%,4.04,2.66%,48.21%,14.81%,"108,448","-58,634",-35.09%,15,2,,,94,4,Computing; Calculating,Education; entertainment,,,,,,,,,,,,,369,,,
University of Louisville,1798,"Art, Education, Human Resources, Industrial Engineering, Law Enforcement, Medical, Performing Arts","Louisville, Kentucky, United States","University of Louisville is a public university that offers bachelor’s, master’s, and doctorate degrees for students.","7,223",Southern US,,,Active,,,,louisville.edu/,https://twitter.com/uofl,https://www.facebook.com/UniversityofLouisville/,https://www.linkedin.com/edu/university-of-louisville-18416,Johrenk7@gmail.com,502.852.4844,670,,"University of Louisville is a public university and a member of the Kentucky state university system. It offers bachelor’s, master’s, and doctorate degrees for students.
University of Louisville offers bachelor's degrees in 70 fields of study, masters' degrees in 78, and doctorate degrees in 22. The 2009 annual report of Arizona State University's Center for Measuring University Performance ranks University of Louisville in the top public research universities in the United States based on its nine measure assessment of total research, federal research, endowment assets, annual giving, national academy members, faculty awards, doctorates granted, postdoctoral appointees, and SAT/ACT range.
The university consists of 12 schools and colleges: College of Arts and Sciences, College of Business, College of Education and Human Development, Graduate School, J. B. Speed School of Engineering, Kent School of Social Work, Louis D. Brandeis School of Law, School of Dentistry, University of Louisville School of Medicin...",,,,,,,,83,"Administrative Services, Education, Government and Military, Health Care, Manufacturing, Media and Entertainment, Privacy and Security, Science and Engineering",,,,10,,2022-09-06,"$3,700,000.0",Grant,,,,"$39,700,000.0","US Department of Commerce, Economic Development Administation, National Institutes of Health, U.S. Department of Education, National Science Foundation, Centers for Disease Control and Prevention",9,9,,,,,,,,,Private,,,,,,,2020-07-21,,1,"7,258",,-0.1,-0.1,8.9,113,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","2,616","1,465,265","1,650,923.67",12.26%,815,3.56%,4.46,-8.06%,39.04%,-11.69%,"79,984","-1,332",-1.64%,171,,"1,316",70,0,37,,Education; entertainment,,,,,,,,,,,,,183,,,
Simon Fraser University,1965,"Continuing Education, EdTech, Education, Higher Education, STEM Education, Training, Universities","Burnaby, British Columbia, Canada","Simon Fraser University is a public research university located in Burnaby, BC.","8,811",,,$500M to $1B,Active,,,,www.sfu.ca/,http://twitter.com/sfu,http://www.facebook.com/simonfraseruniversity,https://www.linkedin.com/company/simon-fraser-university,,1(778)782-3111,289,Crunchbase Venture Program,"Located in Canada on British Columbia's west coast and named for an early explorer, Simon Fraser University opened on September 9, 1965 with 2,500 students.
Noted Canadian architects Arthur Erickson and Geoffrey Massey designed the original Burnaby Mountain campus to foster interdisciplinary contact between students and researchers. That same openness and desire to innovate informs SFU’s current vision: to be Canada's most community-engaged research university.
Now boasting three distinctive campuses, 30,000 students, 6,500 faculty and staff, and 130,000 alumni, SFU has matured into one of the world’s leading teaching and research universities.
Consistently ranked among Canada’s top comprehensive universities and named to the Times Higher Education list of 100 world universities under 50, SFU is also the first Canadian member of the National Collegiate Athletic Association, the world’s largest college sports association.",,,,Public,Four Year University,10001+,Online and On Campus,307,"Education, Other, Science and Engineering, Software",,,251-500,3,,2022-05-06,"$1,257,859.0",Grant,,,,"$13,303,901.0","Government of Canada, Western Economic Diversification Canada, Government of British Columbia",3,3,,,,,,,,,Private,,,,,,,,,2,"8,081",,0.0,0.2,-1.1,140,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","2,324","7,109,654","5,285,034.17",84.64%,711,-4.82%,5.5,14.82%,31.63%,-22.46%,"23,036","-11,580",-33.45%,151,7,987,,156,2,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,2,2,1,,,,,,,517,,,
"University of California, Los Angeles",1919,"Education, Higher Education, Universities","Los Angeles, California, United States","University of California, Los Angeles is a public research university offering a variety of academic programs.","6,196","Greater Los Angeles Area, West Coast, Western US",,,Active,,,,www.ucla.edu/,https://twitter.com/UCLA,https://www.facebook.com/UCLA,https://www.linkedin.com/school/ucla/,ecorrin@mednet.ucla.edu,+1 310-825-4321,"1,269",,"University of California Los Angeles (UCLA) is a thriving educational and research institution that employs faculty members who are some of the top scholars in their field. One of UCLA's particularly reputable schools is the School of Medicine. Attracting students from all over the world, UCLA's medical school is located at one of the most respected hospitals in the country and employs medical professionals and faculty who are among the top in their field. At the UCLA film school, students study with some of the most revered filmmakers in the industry. The Film and Theatre department also has a history of graduating some of the most successful directors, filmmakers and actors in history. UCLA also offers the full range of academic programs in the liberal arts, sciences and humanities, and professional fields such as Education, Architecture, Engineering, Public Affairs and Law, another of UCLA's more exceptional programs. Continuing education courses, like most things at UCLA, offer the highest caliber courses and faculty, with many continuing education instructors being published writers and scholars in their field. Not surprisingly, the student life is vibrant. There are plenty of organizations and activities on campus, both within and beyond academic departments. In the Westwood area of Los Angeles, where UCLA is located, there are also loads of museums, theatres, trendy coffee shops and restaurants. Fellowships are available for certain qualifying graduate students, and undergraduates who qualify may get financial assistance through loans, grants and scholarships. A highly selective university, UCLA admissions to some programs and schools are more competitive than others, with requirements also differing for each one.",,,,,,10001+,,"1,516","Education, Other",2,"Edward Augustus Dickson, Ernest Carroll Moore",,8,,2022-07-26,,Grant,,,,"$118,000,000.0","US Department of Commerce, Economic Development Administation, Hollywood Foreign Press Association, Andrew W. Mellon Foundation, Tadashi Yanai, Anthony and Jeanne Pritzker Family Foundation",7,7,,,,,,,,,Private,,,,,,,,,7,"8,425",,-1.0,-0.3,1.7,7,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","4,703","9,019,959","13,343,483.33",-6.51%,634,3.43%,3.73,-13.22%,49.49%,13.43%,"18,581","2,757",17.42%,19,51,"3,851",,10,0,Basic Electric Elements,,,,,,,,,,,,,,"3,088",,,
CREATE-X,2014,"Education, Training","Atlanta, Georgia, United States",CREATE-X is a Georgia Tech initiative and accelerator for students to launch successful startups.,"4,952","Greater Atlanta Area, East Coast, Southern US",,$1M to $10M,Active,,,,create-x.gatech.edu/,https://twitter.com/gtcreatex,https://www.facebook.com/georgiatechcreatex/,https://www.linkedin.com/company/create-x/,rahulsaxena@gatech.edu,404.894.2000,3,,"CREATE-X is a Georgia Tech initiative to instill entrepreneurial confidence in students and empower them to launch real startups. The broader goal of this initiative is to provide the knowledge, skills, abilities, and experiences that will give Georgia Tech graduates the confidence to create their own future and confidently pursue entrepreneurial opportunities.",,"Accelerator, Entrepreneurship Program, Incubator, University Program",Grant,Public,Four Year University,101-250,Online and On Campus,,Education,2,"Christopher Klaus, Raghupathy Sivakumar",1-10,1,,2019-10-22,"$2,100,000.0",Grant,,,,"$2,100,000.0",The Marcus Foundation,1,1,,,,,,,,,Private,,,,,,,,,,"8,829",,-1.5,-1.3,-1.2,9,"Engineering, Finance, Human Resources, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales","2,133",,,,,,,,,,,,,23,,,,,,,,,,,29,31,1,4,,,On-Site,2019-03-30,12,,,,
Caltech,1891,"EdTech, Education, Universities","Pasadena, California, United States",Caltech is a science and engineering research and education institution.,"60,895","Greater Los Angeles Area, West Coast, Western US",,$1B to $10B,Active,,,,www.caltech.edu,http://twitter.com/Caltech,http://www.facebook.com/californiainstituteoftechnology,https://www.linkedin.com/company/california-institute-of-technology,nexsci@ipac.caltech.edu,(626) 395-1860,"1,168",,"The California Institute of Technology (Caltech) is a world-renowned science and engineering research and education institution, where extraordinary faculty and students seek answers to complex questions, discover new knowledge, lead innovation, and transform our future.
The mission of the California Institute of Technology is to expand human knowledge and benefit society through research integrated with education. We investigate the most challenging, fundamental problems in science and technology in a singularly collegial, interdisciplinary atmosphere, while educating outstanding students to become creative members of society.
Caltech was founded as Throop University in 1891 and renamed the California Institute of Technology in 1920. Its 124-acre campus is located in Pasadena, California.",,,,,,1001-5000,,327,"Education, Other, Software",1,Amos Gager Throop,1001-5000,1,,2019-09-27,"$75,000,000.0",Grant,,,,"$75,000,000.0","Stewart Resnick, Lynda Resnick",2,2,,,,,,,,,Private,,,,,,,,,3,"8,897",,-0.6,0.0,-0.4,10,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","1,381","2,606,078","3,072,528.33",-22.75%,715,21.81%,2.76,-7.67%,59.78%,0.35%,"51,588","13,041",33.83%,17,,,,"3,349",26,Testing,Education; entertainment,,,,3,4,,,,,,,,521,,,
